Time,Acc
0.005,0.0
0.014,0.0
0.03,0.0
0.031,0.0
0.04,0.0
0.05,0.0
0.06,0.0
0.081,0.0
0.081,0.0
0.091,0.0
0.1,0.0
0.111,0.0
0.121,0.0
0.131,0.0
0.141,0.0
0.151,0.0
0.161,0.0
0.181,0.0
0.181,0.0
0.191,0.0
0.201,0.0
0.211,0.0
0.221,0.0
0.231,0.0
0.241,0.0
0.251,0.0
0.261,0.0
0.281,0.0
0.282,0.0
0.292,0.0
0.302,0.0
0.311,0.0
0.321,0.0
0.332,0.0
0.341,0.0
0.352,0.0
0.362,0.0
0.376,0.0
0.382,0.0
0.392,0.0
0.403,0.0
0.412,0.0
0.422,0.0
0.432,0.0
0.442,0.0
0.454,0.0
0.462,0.0
0.472,0.0
0.482,0.0
0.492,0.0
0.508,0.0
0.513,0.0
0.523,0.0
0.533,0.0
0.543,0.0
0.555,0.0
0.563,0.0
0.573,0.0
0.583,0.0
0.595,0.0
0.614,0.0
0.615,0.0
0.623,0.0
0.633,0.0
0.643,0.0
0.657,0.0
0.664,0.0
0.674,0.0
0.684,0.0
0.695,0.0
0.708,0.0
0.713,0.0
0.723,0.0
0.734,0.0
0.744,0.0
0.755,0.0
0.764,0.0
0.774,0.0
0.784,0.0
0.796,0.0
0.818,0.0
0.819,0.0
0.824,0.0
0.834,0.0
0.844,0.0
0.855,0.0
0.864,0.0
0.875,0.0
0.885,0.0
0.895,0.0
0.915,0.0
0.916,0.0
0.926,0.0
0.935,0.0
0.945,0.0
0.955,0.0
0.965,0.0
0.974,0.0
0.985,0.0
0.995,0.0
1.011,0.0
1.015,0.0
1.025,0.0
1.036,0.0
1.046,0.0
1.057,0.0
1.066,0.0
1.079,0.0
1.086,0.0
1.101,0.0
1.111,0.0
1.115,0.0
1.125,0.0
1.136,0.0
1.146,0.0
1.157,0.0
1.166,0.0
1.176,0.0
1.187,0.0
1.198,0.0
1.217,0.0
1.218,0.0
1.226,0.0
1.236,0.0
1.246,0.0
1.257,0.0
1.266,0.0
1.277,0.0
1.287,0.0
1.297,0.0
1.316,0.0
1.317,0.0
1.326,0.0
1.34,0.0
1.347,0.0
1.357,0.0
1.367,0.0
1.379,0.0
1.402,0.0
1.404,0.0
1.407,0.0
1.417,0.0
1.427,0.0
1.44,0.0
1.447,0.0
1.458,0.0
1.467,0.0
1.479,0.0
1.5,0.0
1.501,0.0
1.511,0.0
1.518,0.0
1.528,0.0
1.542,0.0
1.547,0.0
1.558,0.0
1.568,0.0
1.58,0.0
1.589,0.0
1.599,0.0
1.607,0.0
1.618,0.0
1.628,0.0
1.641,0.0
1.648,0.0
1.658,0.0
1.668,0.0
1.681,0.0
1.701,0.0
1.703,0.0
1.713,0.0
1.718,0.0
1.73,0.0
1.74,0.0
1.749,0.0
1.759,0.0
1.769,0.0
1.78,0.0
1.802,0.0
1.803,0.0
1.815,0.0
1.819,0.0
1.829,0.0
1.841,0.0
1.849,0.0
1.86,0.0
1.869,0.0
1.883,0.0
1.907,0.0
1.908,0.0
1.92,0.0
1.921,0.0
1.931,0.0
1.942,0.0
1.949,0.0
1.96,0.0
1.97,0.0
1.982,0.0
2.004,0.0
2.005,0.0
2.015,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.071,0.0
2.083,0.0
2.105,0.0
2.107,0.0
2.11,0.0
2.121,0.0
2.131,0.0
2.141,0.0
2.151,0.0
2.161,0.0
2.17,0.0
2.182,0.0
2.2,0.0
2.201,0.0
2.21,0.0
2.224,0.0
2.23,0.0
2.24,0.0
2.251,0.0
2.261,0.0
2.283,0.0
2.284,0.0
2.298,0.0
2.301,0.0
2.311,0.0
2.323,0.0
2.331,0.0
2.341,0.0
2.351,0.0
2.362,0.0
2.383,0.0
2.383,0.0
2.406,0.0
2.407,0.0
2.412,0.0
2.424,0.0
2.432,0.0
2.442,0.0
2.452,0.0
2.462,0.0
2.481,0.0
2.482,0.0
2.501,0.0
2.503,0.0
2.512,0.0
2.524,0.0
2.532,0.0
2.542,0.0
2.552,0.0
2.563,0.0
2.582,0.0
2.584,0.0
2.599,0.0
2.602,0.0
2.612,0.0
2.624,0.0
2.633,0.0
2.643,0.0
2.653,0.0
2.663,0.0
2.682,0.0
2.683,0.0
2.703,0.0
2.705,0.0
2.713,0.0
2.724,0.0
2.733,0.0
2.743,0.0
2.755,0.0
2.763,0.0
2.782,0.0
2.783,0.0
2.801,0.0
2.803,0.0
2.813,0.0
2.825,0.0
2.834,0.0
2.844,0.0
2.854,0.0
2.864,0.0
2.882,0.0
2.883,0.0
2.904,0.0
2.905,0.0
2.914,0.0
2.925,0.0
2.934,0.0
2.944,0.0
2.954,0.0
2.964,0.0
2.982,0.0
2.984,0.0
2.999,0.0
3.005,0.0
3.015,0.0
3.025,0.0
3.035,0.0
3.045,0.0
3.055,0.0
3.065,0.0
3.081,0.0
3.085,0.0
3.102,0.0
3.112,0.0
3.115,0.0
3.125,0.0
3.135,0.0
3.145,0.0
3.157,0.0
3.165,0.0
3.175,0.0
3.186,0.0
3.199,0.0
3.22,0.0
3.222,0.0
3.225,0.0
3.235,0.0
3.245,0.0
3.258,0.0
3.266,0.0
3.276,0.0
3.286,0.0
3.299,0.0
3.316,0.0
3.317,0.0
3.326,0.0
3.336,0.0
3.346,0.0
3.358,0.0
3.366,0.0
3.376,0.0
3.386,0.0
3.398,0.0
3.416,0.0
3.417,0.0
3.426,0.0
3.436,0.0
3.447,0.0
3.46,0.0
3.467,0.0
3.477,0.0
3.487,0.0
3.499,0.0
3.52,0.0
3.522,0.0
3.53,0.0
3.537,0.0
3.547,0.0
3.559,0.0
3.567,0.0
3.577,0.0
3.587,0.0
3.599,0.0
3.62,0.0
3.621,0.0
3.631,0.0
3.638,0.0
3.647,0.0
3.659,0.0
3.668,0.0
3.678,0.0
3.688,0.0
3.699,0.0
3.719,0.0
3.72,0.0
3.733,0.0
3.737,0.0
3.748,0.0
3.759,0.0
3.768,0.0
3.779,0.0
3.788,0.0
3.799,0.0
3.82,0.0
3.821,0.0
3.83,0.0
3.838,0.0
3.849,0.0
3.859,0.0
3.869,0.0
3.883,0.0
3.889,0.0
3.904,0.0
3.909,0.0
3.918,0.0
3.929,0.0
3.939,0.0
3.949,0.0
3.959,0.0
3.969,0.0
3.983,0.0
3.989,0.0
4.0,0.0
4.009,0.0
4.019,0.0
4.029,0.0
4.4,0.0
4.5,0.0
4.059,0.0
4.7,0.0
4.085,0.0
4.9,0.0
4.105,0.0
4.11,0.0
4.121,0.0
4.132,0.0
4.142,0.0
4.15,0.0
4.16,0.0
4.17,0.0
4.182,0.0
4.201,0.0
4.202,0.0
4.211,0.0
4.22,0.0
4.23,0.0
4.244,0.0
4.25,0.0
4.261,0.0
4.27,0.0
4.28,0.0
4.295,0.0
4.3,0.0
4.31,0.0
4.321,0.0
4.331,0.0
4.344,0.0
4.351,0.0
4.361,0.0
4.371,0.0
4.38,0.0
4.392,0.0
4.4,0.0
4.411,0.0
4.421,0.0
4.431,0.0
4.443,0.0
4.451,0.0
4.461,0.0
4.471,0.0
4.483,0.0
4.501,0.0
4.502,0.0
4.511,0.0
4.521,0.0
4.533,0.0
4.542,0.0
4.552,0.0
4.562,0.0
4.572,0.0
4.582,0.0
4.606,0.0
4.607,0.0
4.612,0.0
4.622,0.0
4.633,0.0
4.642,0.0
4.652,0.0
4.663,0.0
4.672,0.0
4.683,0.0
4.702,0.0
4.703,0.0
4.713,0.0
4.722,0.0
4.733,0.0
4.744,0.0
4.753,0.0
4.763,0.0
4.773,0.0
4.783,0.0
4.807,0.0
4.808,0.0
4.813,0.0
4.823,0.0
4.833,0.0
4.843,0.0
4.853,0.0
4.863,0.0
4.873,0.0
4.884,0.0
4.9,0.0
4.903,0.0
